locum_gp	3403219931	Hoogersmilde-Centrum, Midden-Drenthe
Patrick112Wind	430314007	Groningen
cisvanaken	137013773	Groningen, Nederland
_Jan_Herman	159037394	Groningen
mcleenders	157944674	Groningen
kaadeevee	95926754	Groningen, Nederland
FairFriesland	2175662502	Friesland, Nederland
gic_nl	30006520	Groningen
kaadeevee	95926754	Groningen, Nederland
deFineNL	100521998	Groningen, The Netherlands
PietJanNauta	186006245	Sneek, Friesland, Netherlands
elpeegroningen	60579582	Groningen, the Netherlands
devitaleaanpak	516608695	Groningen/ Nederland
michellewijma	160841618	Groningen
JordiZandhuis	205361144	Er gaat niks boven Groningen
klatwerk3	1683317521	Groningen
transportgids	274951403	Groningen, Netherlands
GronBereikbaar	561002581	Groningen
uitgpassage	202647136	Boterdiep 117, Groningen
kaadeevee	95926754	Groningen, Nederland
MarcellaTweet	75230064	Groningen
BobVoorneveld	4902011259	Groningen, Nederland
deFineNL	100521998	Groningen, The Netherlands
HeeToolz	418507728	Friesland
cisvanaken	137013773	Groningen, Nederland
ten_boer	827009922	Ten Boer, Groningen
Scarbir	12458682	Groningen, Netherlands
JohannesDreijer	2269391174	Freistaat Groningen
MarneDrukkers	332130000	Leens - Groningen - Delfzijl
128705	879130710	Drenthe, Nederland
nicoswa	360615741	Groningen | Gasselte
128705	879130710	Drenthe, Nederland
NoldasLifestyle	819613026	Groningen
Super_shano2002	3559492516	Groningen, Nederland
kaadeevee	95926754	Groningen, Nederland
yamuis	47141474	Groningen, Netherlands
borg05	19437201	Bedum Groningen
MargreetModels	104315832	Surhuisterveen, Friesland
Daann1988	47281990	Groningen
Bouwgids	239445127	Groningen, Netherlands
F1Grietje	3173228765	Friesland, Nederland
marioomiskovic	137384565	Groningen, The Netherlands
Daann1988	47281990	Groningen
simonline7	103060313	Groningen
Mamski40	56652313	Groningen, Netherlands
GroningenNL	86419723	Groningen, Hoogkerk
thiempie19	899285572912545793	Groningen, Nederland
Gelkinghe	57026952	Groningen
AnkePepping	94349301	Netherlands, Drenthe, Borger
Groningen_NewZ	489377890	Groningen
128705	879130710	Drenthe, Nederland
jdnijland	337815392	Groningen
provgroningen	137290023	Groningen
marioomiskovic	137384565	Groningen, The Netherlands
WaddenHeli	3156602519	Leeuwarden, Friesland
MeisjeMeisje	28660609	Groningen, The Netherlands
mooileeuwarden	350524452	Friesland leeuwarden
128705	879130710	Drenthe, Nederland
weedebee	43716624	Groningen
rtvnoord	14907733	Groningen, The Netherlands
aboutbtcoin	1367359076	Friesland, Nederland
vikingsintibet	3114512553	Groningen, The Netherlands
provgroningen	137290023	Groningen
cisvanaken	137013773	Groningen, Nederland
fcgroningen	14921134	Groningen
DewiPieterman	4536752686	Nieuwlande, Drenthe, Nederland
astrid_spijker	3758161037	Bolsward, Friesland
RijkBinnekamp	199757038	Havelte, Drenthe
112DrentheNL	724647615896248320	Drenthe, Nederland
112DrentheNL	724647615896248320	Drenthe, Nederland
deollegrieze	717985082	Groningen, The Netherlands
deollegrieze	717985082	Groningen, The Netherlands
fcgroningen	14921134	Groningen
Gert_Meijer	21867481	Meppel, Drenthe
Ollie_66	88457352	Groningen
Keeeliiee	713439567341297664	Groningen, Nederland
uraadrug	3060192964	Groningen, Nederland
uraadrug	3060192964	Groningen, Nederland
VriesGerrit	395299283	Groningen
Feenyks_com	2200979228	Groningen
uitgpassage	202647136	Boterdiep 117, Groningen
Henrikruithof	114425430	Rotterdammer in Groningen
uraadrug	3060192964	Groningen, Nederland
dsplit87	302243899	Friesland, Nederland
lumphie	193834584	Groningen
uraadrug	3060192964	Groningen, Nederland
bartonnes1	3758127857	Groningen, Nederland
PaulApostate	2905567185	Onderdijk/West-Friesland/NL
uraadrug	3060192964	Groningen, Nederland
antiqdigitalis	2789628483	Groningen en Amsterdam
kaadeevee	95926754	Groningen, Nederland
MartijnFolkers	124199159	Groningen
PietJanNauta	186006245	Sneek, Friesland, Netherlands
Gelkinghe	57026952	Groningen
Daann1988	47281990	Groningen
hodnl	64491928	Groningen, The Netherlands
Deaurin	17174013	Groningen
128705	879130710	Drenthe, Nederland
Naituutstad	66971366	Groningen
Miepielado	296990365	Groningen, Nederland
Miepielado	296990365	Groningen, Nederland
maxx0r	33668635	Groningen
MeisjeMeisje	28660609	Groningen, The Netherlands
Miepielado	296990365	Groningen, Nederland
Miepielado	296990365	Groningen, Nederland
iDeesonline	1037563471	Groningen
GiovanniTjalkes	463683260	Groningen, Netherlands
Robbert_____	84076367	Groningen, Nederland
BCDwingeldervld	234366154	Ruinen, Drenthe
128705	879130710	Drenthe, Nederland
MeisjeMeisje	28660609	Groningen, The Netherlands
Deaurin	17174013	Groningen
128705	879130710	Drenthe, Nederland
Duostudent	138339427	Groningen
messiJ_L2	791977955287269376	Groningen, Nederland
112groningennl	140815762	Groningen
politiekinneder	105525632	Provincie Groningen
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
DierenambuGroni	468305759	Groningen
marcelhulshof8	3290441105	Groningen, Nederland
MarcoKleen	153369229	Groningen
MrEdwinGroot	164310645	Stad Groningen
Sweetsuzie_	197361299	Groningen, Nederland
SRCreizen	131188021	Groningen, Nederland
dsplit87	302243899	Friesland, Nederland
deollegrieze	717985082	Groningen, The Netherlands
GrunCompleet	2975390097	Groningen
antiqdigitalis	2789628483	Groningen en Amsterdam
bartonnes1	3758127857	Groningen, Nederland
deollegrieze	717985082	Groningen, The Netherlands
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
ResearchEMB	707209123	Groningen
irenebal	156225735	Friesland
bartonnes1	3758127857	Groningen, Nederland
AHRisseeuw	371696544	Fryslân - Friesland
dvhn_nl	18549902	Groningen
groningen	63435043	Groningen, Nederland
Gewoon_Raymond	336582669	Groningen
babilpaco	263156114	Groningen
CaAl	19787166	Groningen
irenebal	156225735	Friesland
112groningennl	140815762	Groningen
ricktencate	299074488	Groningen
hansomrosen	49634345	Groningen, The Netherlands
wwactueel	63100498	Westerwolde, Groningen
ricktencate	299074488	Groningen
poldrenthe	245926988	Provincie Drenthe
bartonnes1	3758127857	Groningen, Nederland
Henrikruithof	114425430	Rotterdammer in Groningen
parlementor	775269751668998144	Groningen, Nederland
Gewoon_Raymond	336582669	Groningen
Gelkinghe	57026952	Groningen
EReitsema	494045209	Groningen
JouwStad_eu	899592692	Groningen, The Netherlands
Siebrand	18984918	Groningen, The Netherlands
dsplit87	302243899	Friesland, Nederland
Duostudent	138339427	Groningen
provgroningen	137290023	Groningen
PietJanNauta	186006245	Sneek, Friesland, Netherlands
ColinKruishaar	110426024	Groningen
bartonnes1	3758127857	Groningen, Nederland
GerdaDeVoogd	128504359	Groningen, the Netherlands
JohannesDreijer	2269391174	Freistaat Groningen
CharlotteKumm	3197575967	Groningen, Nederland
parlementor	775269751668998144	Groningen, Nederland
bartonnes1	3758127857	Groningen, Nederland
JohannesDreijer	2269391174	Freistaat Groningen
DeamunBrimstone	2918258091	Surhuisterveen,Friesland
EppieGriepsma	137291129	Friesland
NoldasLifestyle	819613026	Groningen
Ab1802	19648823	Holland, Drenthe, Koekange
JohannesDreijer	2269391174	Freistaat Groningen
BosmanBas	925649670	Groningen
uitgpassage	202647136	Boterdiep 117, Groningen
roelbreet	21559062	Zeist, Utrecht, Groningen
fwkingcalum	780532170	Friesland, Nederland
MDHeeremans	39739289	Friesland
DrentheSport	175006489	Drenthe
bartonnes1	3758127857	Groningen, Nederland
AHRisseeuw	371696544	Fryslân - Friesland
sannemeijerblog	3198869859	Groningen, Nederland
renbri7	853172867978211329	Groningen
Celinaaa_Sunny	895585410184884224	Friesland, Nederland
Gelkinghe	57026952	Groningen
Internoord	81074003	Groningen, Groningen
scheerhoornhov	280147863	Leek, Groningen
irenebal	156225735	Friesland
_SCML	2431956336	Groningen - The Netherlands
f1tm_nl	245724666	Groningen
bartonnes1	3758127857	Groningen, Nederland
fcgroningen	14921134	Groningen
FeelGood_Food	2573433018	Groningen
EdanZcentrum	791286552756445184	Groningen, Nederland
AHRisseeuw	371696544	Fryslân - Friesland
Jan_Weeber	2374136113	Groningen & Amsterdam
JanGraafstra	440737780	Friesland te Heerenveen
AHRisseeuw	371696544	Fryslân - Friesland
uitgpassage	202647136	Boterdiep 117, Groningen
renbri7	853172867978211329	Groningen
TaxiArie	724137275844661249	Friesland, Nederland
MDHeeremans	39739289	Friesland
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
irenebal	156225735	Friesland
Jeroen_Meijer	222619036	Friesland, SNEEK
RTVDrenthe	21074905	Assen, Drenthe, Nederland
JohannesDreijer	2269391174	Freistaat Groningen
poliswijzer	2721243534	Groningen
deollegrieze	717985082	Groningen, The Netherlands
uitgpassage	202647136	Boterdiep 117, Groningen
RTVDrenthe	21074905	Assen, Drenthe, Nederland
elpeegroningen	60579582	Groningen, the Netherlands
rosatimmer	96589641	Groningen
aboutbtcoin	1367359076	Friesland, Nederland
deollegrieze	717985082	Groningen, The Netherlands
michellewijma	160841618	Groningen
JohannesDreijer	2269391174	Freistaat Groningen
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
Fleurgraeper	23347329	Groningen
MartenNauta	18907119	Groningen, Nederland
Eetparkbeilen	4501315048	Midden-Drenthe
Gelkinghe	57026952	Groningen
robnieboer	191736431	Groningen, the Netherlands
Scarbir	12458682	Groningen, Netherlands
uraadrug	3060192964	Groningen, Nederland
vanoostmedia	346111536	Drenthe
aogopleidingen	71517628	Amersfoort en Groningen
PloegleiderNL	296135596	Groningen
robnieboer	191736431	Groningen, the Netherlands
EppieGriepsma	137291129	Friesland
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
parlementor	775269751668998144	Groningen, Nederland
JumperHeerenvn	3955215322	Heerenveen, Friesland
dsplit87	302243899	Friesland, Nederland
aboutbtcoin	1367359076	Friesland, Nederland
oogtv	22465767	Groningen
DorotheaPiek	40697877	Groningen
EppieGriepsma	137291129	Friesland
Robbert_____	84076367	Groningen, Nederland
dutchatc	54495960	Súdwest Fryslân, Friesland
reparatieballen	378498742	Groningen
parlementor	775269751668998144	Groningen, Nederland
parlementor	775269751668998144	Groningen, Nederland
MeisjeMeisje	28660609	Groningen, The Netherlands
EppieGriepsma	137291129	Friesland
CaAl	19787166	Groningen
PaulApostate	2905567185	Onderdijk/West-Friesland/NL
gjbrand	141713483	Groningen Netherlands
1971dsgn	14800227	Friesland
Arjan_n	105774287	Groningen,Netherlands
MDHeeremans	39739289	Friesland
GroningenNL	86419723	Groningen, Hoogkerk
D66PSGroningen	158843218	Provincie Groningen
CaAl	19787166	Groningen
Keeeliiee	713439567341297664	Groningen, Nederland
Cyberwildz	239539903	Groningen, Nederland
F1Grietje	3173228765	Friesland, Nederland
VriesGerrit	395299283	Groningen
Dwergarend	54975595	Groningen
Heupje74	352199818	Drenthe, Havelte
ellenderuiter	127010549	Friesland, Nederland
Heupje74	352199818	Drenthe, Havelte
Arjan_n	105774287	Groningen,Netherlands
Boelskoerier	843446436	Emmen Drenthe
DeamunBrimstone	2918258091	Surhuisterveen,Friesland
Laura_Setz	718673939	Drenthe, The Netherlands
Keeeliiee	713439567341297664	Groningen, Nederland
MarcellaTweet	75230064	Groningen
RuudKosters	230121562	Groningen, The Netherlands
dsplit87	302243899	Friesland, Nederland
MeisjeMeisje	28660609	Groningen, The Netherlands
parlementor	775269751668998144	Groningen, Nederland
VVVFrieseMeren	177951132	Friesland, Nederland
deollegrieze	717985082	Groningen, The Netherlands
martinschans	469556275	Haren, Groningen
vanoostmedia	346111536	Drenthe
PietJanNauta	186006245	Sneek, Friesland, Netherlands
Kaki71	42061509	Groningen, The Netherlands
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
GroningenNL	86419723	Groningen, Hoogkerk
Robbert_____	84076367	Groningen, Nederland
Duostudent	138339427	Groningen
AutoMotorBoten	2387712385	Drenthe / Overijssel
Its_RhymeTime	843132063637295109	Groningen, Nederland
JanTammeling	264062085	Groningen
fabianPas	80345328	Groningen, The netherlands
ottovanzanten	744032696	Groningen, Netherlands
dsplit87	302243899	Friesland, Nederland
128705	879130710	Drenthe, Nederland
andrieshoekstra	56530577	Harkema, Friesland, Holland
Jan_Weeber	2374136113	Groningen & Amsterdam
FCGFeed	2359946095	Groningen
Robbert_____	84076367	Groningen, Nederland
willemijnlau	566168038	Drenthe, Nederland
NieuwsFeedsFRL	375125153	Friesland
Rutger_m	56339998	Groningen
56aaldersp	3536359767	Groningen, Nederland
MrEdwinGroot	164310645	Stad Groningen
gillie_vanilli	155906413	Groningen, Netherlands
dsplit87	302243899	Friesland, Nederland
oogtv	22465767	Groningen
Care2Wear_NL	898512179451883520	Groningen, Nederland
SHeerenveenFeed	2359944097	Heerenveen, Friesland
SCCambuurFeed	2359937442	Leeuwarden, Friesland
PietJanNauta	186006245	Sneek, Friesland, Netherlands
DeKleankast	24399743	Akkrum (Friesland)
F1Grietje	3173228765	Friesland, Nederland
parlementor	775269751668998144	Groningen, Nederland
Care2Wear_NL	898512179451883520	Groningen, Nederland
Robbert_____	84076367	Groningen, Nederland
ABVakwerk	275574001	Sneek - Friesland
MDHeeremans	39739289	Friesland
sportinstad	2821218477	Groningen, Nederland
ChantalSchrijft	307305978	Groningen
PeterenItieKeus	98662419	Balk, Friesland
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
deollegrieze	717985082	Groningen, The Netherlands
VPTZGroningen	949724648	Groningen en Hoogezand
fcgroningennieu	624764122	Groningen
MeisjeMeisje	28660609	Groningen, The Netherlands
MeisjeMeisje	28660609	Groningen, The Netherlands
gebroedersRJ	861564981506170880	Groningen, Nederland
HugodeGekste	161014911	Groningen
Benstriesenou1	202650608	Groningen
MaikelvanDuinen	745207963	Groningen, Nederland
patrick23dingen	94411215	Friesland/Groningen
Jer0enb	41919523	Beijum-West, Groningen
DNVM6	3346464917	Groningen, Friesland, Drenthe
Scarbir	12458682	Groningen, Netherlands
Eetparkbeilen	4501315048	Midden-Drenthe
parlementor	775269751668998144	Groningen, Nederland
JondaKo	415783506	Groningen
HieHefGeliek	2539333634	Groningen, Nederland
jorndevreede	14906826	Groningen, Netherlands
Duostudent	138339427	Groningen
Duostudent	138339427	Groningen
45peklaas	736638686511648768	Friesland, Nederland
gebroedersRJ	861564981506170880	Groningen, Nederland
HabboNLRise	809827465032040449	Groningen, Nederland
128705	879130710	Drenthe, Nederland
BasBvp	2157494835	Drenthe
ErikGeersing	621212269	De Wijert-Zuid, Groningen
dsplit87	302243899	Friesland, Nederland
Duostudent	138339427	Groningen
dvhn_nl	18549902	Groningen
Duostudent	138339427	Groningen
Janneke_sdw	463930764	Hoogkerk, Groningen
GiovanniTjalkes	463683260	Groningen, Netherlands
HieHefGeliek	2539333634	Groningen, Nederland
RTVDrenthe	21074905	Assen, Drenthe, Nederland
patrick23dingen	94411215	Friesland/Groningen
gebroedersRJ	861564981506170880	Groningen, Nederland
MeisjeMeisje	28660609	Groningen, The Netherlands
MeisjeMeisje	28660609	Groningen, The Netherlands
BasBvp	2157494835	Drenthe
PaulApostate	2905567185	Onderdijk/West-Friesland/NL
HieHefGeliek	2539333634	Groningen, Nederland
Espen_vdH	2900417861	Groningen, Nederland
aardappElena	869199444935409667	Friesland, Nederland
fcgroningen	14921134	Groningen
leoniesijbring	151986685	Haarlem • Drenthe • wanderlust
Groningen_NewZ	489377890	Groningen
carolieweg	221302074	Groningen
sportinstad	2821218477	Groningen, Nederland
sportinstad	2821218477	Groningen, Nederland
LilianSchrijft	539848705	Groningen area
dsplit87	302243899	Friesland, Nederland
aardappElena	869199444935409667	Friesland, Nederland
GroningenNL	86419723	Groningen, Hoogkerk
MDHeeremans	39739289	Friesland
luukmur	175692141	Groningen
BRWGroningen	87394935	Groningen
aardappElena	869199444935409667	Friesland, Nederland
HabboNLRise	809827465032040449	Groningen, Nederland
jansiekman	57599231	Groningen
BossieSchrijft	1006240304	Leeuwarden, Friesland
xxchantalxxxx	379299192	Groningen, Nederland
aardappElena	869199444935409667	Friesland, Nederland
dsplit87	302243899	Friesland, Nederland
F1Grietje	3173228765	Friesland, Nederland
ReneBerken	767621481794764800	Groningen, Nederland
borg05	19437201	Bedum Groningen
marjan990	155234539	Friesland, Nederland
parlementor	775269751668998144	Groningen, Nederland
goudsmidmargrie	126655424	Noordbroek,Groningen
ReneBerken	767621481794764800	Groningen, Nederland
VRgroningen	223792086	Groningen
danielstalman	458270039	woonzaam in de Prov. Groningen
borg05	19437201	Bedum Groningen
MeisjeMeisje	28660609	Groningen, The Netherlands
annebteg	56313378	Groningen, The Netherlands
DietcoachMoniek	540658023	Groningen
BasBvp	2157494835	Drenthe
MDHeeremans	39739289	Friesland
MeisjeMeisje	28660609	Groningen, The Netherlands
Robbert_____	84076367	Groningen, Nederland
aardappElena	869199444935409667	Friesland, Nederland
BirskenHRi	2900598046	Groningen
dsplit87	302243899	Friesland, Nederland
PietJanNauta	186006245	Sneek, Friesland, Netherlands
aardappElena	869199444935409667	Friesland, Nederland
RTVDrenthe	21074905	Assen, Drenthe, Nederland
TjaardPolet	185964708	Groningen
LukasBouwman	385387598	Haren, Groningen
borg05	19437201	Bedum Groningen
F1Grietje	3173228765	Friesland, Nederland
remivanbeekum	14697565	Groningen, Netherlands
gelientje	1388963839	Friesland, Nederland
EHMinnema	204357337	Groningen
huitsing	145265714	Groningen, Nederland
aardappElena	869199444935409667	Friesland, Nederland
oogtv	22465767	Groningen
HaijeWind	149995851	Groningen, The Netherlands
Robbert_____	84076367	Groningen, Nederland
dvhn_nl	18549902	Groningen
fIowerfields	1249377800	Groningen, Nederland
parlementor	775269751668998144	Groningen, Nederland
AlexSteenbreker	590774519	Groningen, Nederland
SonjaFokkema	2158860289	Dokkum - Friesland - Nederland
128705	879130710	Drenthe, Nederland
aardappElena	869199444935409667	Friesland, Nederland
rtvnoord	14907733	Groningen, The Netherlands
withtsjalling	125947904	Groningen, the Netherlands
128705	879130710	Drenthe, Nederland
MoiAssen	544439046	Drenthe - Assen
Mardijk30	76104597	Groningen
WaddenHeli	3156602519	Leeuwarden, Friesland
PaulApostate	2905567185	Onderdijk/West-Friesland/NL
aardappElena	869199444935409667	Friesland, Nederland
aardappElena	869199444935409667	Friesland, Nederland
Espen_vdH	2900417861	Groningen, Nederland
Erikdevries67	820402923297501189	Groningen, Nederland
natuurgrafnee	837261630006251521	Ruigahuizen, Friesland
GroningenNL	86419723	Groningen, Hoogkerk
MoiAssen	544439046	Drenthe - Assen
MeisjeMeisje	28660609	Groningen, The Netherlands
JohannesDreijer	2269391174	Freistaat Groningen
love_she_male	782111826372915200	Friesland, Nederland
aardappElena	869199444935409667	Friesland, Nederland
Carina415	319101989	*Groningen*
MDHeeremans	39739289	Friesland
EBM67	85620230	Borger, Drenthe, Nederland
parlementor	775269751668998144	Groningen, Nederland
shootersPeper	127562402	Groningen
PietJanNauta	186006245	Sneek, Friesland, Netherlands
MoiAssen	544439046	Drenthe - Assen
FreakzOdiOn	110377063	Groningen
aardappElena	869199444935409667	Friesland, Nederland
Reaus_	2923308339	Groningen, Nederland
JetzeGenee	220978228	Makkum / Friesland / Holland
Team4Mijl	1389592574	Groningen, Nederland
dsplit87	302243899	Friesland, Nederland
FJKlaver	47600444	Oudwoude (Friesland)
nl_peterkoning	1220939095	West-Friesland
fIowerfields	1249377800	Groningen, Nederland
StefSwarts	889612593425502209	Groningen, Nederland
BasBvp	2157494835	Drenthe
marcelhulshof8	3290441105	Groningen, Nederland
renbri7	853172867978211329	Groningen
ColinKruishaar	110426024	Groningen
AHRisseeuw	371696544	Fryslân - Friesland
dsplit87	302243899	Friesland, Nederland
JondaKo	415783506	Groningen
Erikdevries67	820402923297501189	Groningen, Nederland
fcgroningen	14921134	Groningen
parlementor	775269751668998144	Groningen, Nederland
grunhun	3094573474	Groningen, Nederland
grunhun	3094573474	Groningen, Nederland
deollegrieze	717985082	Groningen, The Netherlands
wimvandepol	184532780	Groningen Netherlands
JondaKo	415783506	Groningen
MWetterauw	337090222	Drenthe
Erikdevries67	820402923297501189	Groningen, Nederland
leoniesijbring	151986685	Haarlem • Drenthe • wanderlust
videolandschap	122104910	Groningen, the Netherlands
politiekinneder	105525632	Provincie Groningen
mellekielstra	26849831	Friesland, Nederland
Feenyks_com	2200979228	Groningen
JondaKo	415783506	Groningen
maxx0r	33668635	Groningen
wal1961	246326068	Friesland, Nederland
ejbijker	121488166	Groningen
ejbijker	121488166	Groningen
ejbijker	121488166	Groningen
truusweeber	227263332	Groningen
grunhun	3094573474	Groningen, Nederland
dsplit87	302243899	Friesland, Nederland
truusweeber	227263332	Groningen
JohannesDreijer	2269391174	Freistaat Groningen
kinderen33	124533945	Friesland, Nederland
truusweeber	227263332	Groningen
parlementor	775269751668998144	Groningen, Nederland
parlementor	775269751668998144	Groningen, Nederland
MentorFriesland	462316331	Friesland
TBloemink	175994539	Groningen
dsplit87	302243899	Friesland, Nederland
hansomrosen	49634345	Groningen, The Netherlands
Liesbeth050	199242649	Groningen
JohannesDreijer	2269391174	Freistaat Groningen
geenbananen	331062866	Groningen
martinpostmus	64225222	Nederland Groningen
dsplit87	302243899	Friesland, Nederland
marjanbrouwers	27317839	Groningen
geenbananen	331062866	Groningen
JosefienHarmsen	978227028	Groningen
marjanbrouwers	27317839	Groningen
dsplit87	302243899	Friesland, Nederland
Maaike_Ou	409390572	Zaanstreek & West-Friesland
Espen_vdH	2900417861	Groningen, Nederland
Dempaahh	806932968811986946	, Friesland
Dempaahh	806932968811986946	, Friesland
slagter_jan	421066470	Drenthe
parlementor	775269751668998144	Groningen, Nederland
timmerdorp050	2644386371	Groningen | Nederland
HieHefGeliek	2539333634	Groningen, Nederland
Wegenwacht9466	1735698313	Drenthe
dsplit87	302243899	Friesland, Nederland
tjstoelwinder	2825398955	Friesland
fIowerfields	1249377800	Groningen, Nederland
NoordtribuneFCG	900424143904141312	Provincie Groningen
timmerdorp050	2644386371	Groningen | Nederland
fcgroningen	14921134	Groningen
LukasBouwman	385387598	Haren, Groningen
WelkomGasberaad	4868655382	Groningen, Nederland
deollegrieze	717985082	Groningen, The Netherlands
martinsijbolts	2910828705	Groningen
wdekonink	624059109	Groningen, Nederland
Talens12	2812741876	Groningen, Nederland
ArjanVrieze	171655662	Groningen
NoordtribuneFCG	900424143904141312	Provincie Groningen
RoukevanderHoek	26728544	Leeuwarden, Friesland
karinwinters	10708962	Alteveer Drenthe
parlementor	775269751668998144	Groningen, Nederland
parlementor	775269751668998144	Groningen, Nederland
BrakdagStad	821450694431543296	Groningen, Nederland
Erikdevries67	820402923297501189	Groningen, Nederland
MeisjeMeisje	28660609	Groningen, The Netherlands
FCGOnline	86337617	Groningen
Dempaahh	806932968811986946	, Friesland
rtvnoord	14907733	Groningen, The Netherlands
Henry_de_Roo	18990207	Klazienaveen (Drenthe)
marjanbrouwers	27317839	Groningen
Robbert_____	84076367	Groningen, Nederland
GrootHeerenveen	4415929762	Heerenveen, Friesland
parlementor	775269751668998144	Groningen, Nederland
ErikGeersing	621212269	De Wijert-Zuid, Groningen
FCGOnline	86337617	Groningen
martindrent	141737208	Groningen
StienekevdGraaf	243842517	Groningen
Robbert_____	84076367	Groningen, Nederland
wdekonink	624059109	Groningen, Nederland
Wiebren	21394862	Friesland
Espen_vdH	2900417861	Groningen, Nederland
emileNU	54949061	Amsterdam | Groningen
dsplit87	302243899	Friesland, Nederland
Yorienvdh	126721324	Groningen, Nederland
PietJanNauta	186006245	Sneek, Friesland, Netherlands
bosmier	220819892	Drenthe, Hooghalen
HieHefGeliek	2539333634	Groningen, Nederland
128705	879130710	Drenthe, Nederland
ArjanLucius	381634439	Groningen
Gerard_Berghuis	46337398	Winsum/Groningen/Drachten
GerrySchultinga	90001086	Zuidlaren Groningen Drenthe
leonmeijer2009	58434036	Netherlands, Groningen
GieljanScholing	300837898	Groningen, Nederland
jndkgrf	210792476	Eesterga, Friesland
HieHefGeliek	2539333634	Groningen, Nederland
LiesbethvBerkel	444762893	Friesland
univgroningen	33535466	Groningen, The Netherlands
trijniefaber	432903122	Groningen
JohannesDreijer	2269391174	Freistaat Groningen
carolieweg	221302074	Groningen
PietJanNauta	186006245	Sneek, Friesland, Netherlands
PietJanNauta	186006245	Sneek, Friesland, Netherlands
irenebal	156225735	Friesland
trijniefaber	432903122	Groningen
LiesbethvBerkel	444762893	Friesland
Ellenklinkt	125339501	Friesland, Netherlands
cvanatten	236726053	Woont in Groningen
Yorienvdh	126721324	Groningen, Nederland
LiesbethvBerkel	444762893	Friesland
LukasBouwman	385387598	Haren, Groningen
jndkgrf	210792476	Eesterga, Friesland
leonmeijer2009	58434036	Netherlands, Groningen
ictrecht	19810490	Amsterdam en Groningen
RenateWinkel	190615412	Groningen
maxx0r	33668635	Groningen
parlementor	775269751668998144	Groningen, Nederland
Wandelvrouw	3326776066	West-Friesland
AHindriks	388233538	Groningen
Maaike_Ou	409390572	Zaanstreek & West-Friesland
F1Grietje	3173228765	Friesland, Nederland
Zjoert	25576179	Friesland
dsplit87	302243899	Friesland, Nederland
escmymind	21599039	Groningen, Nederland
DeDoentje	58315553	Groningen, Groningen
Zjoert	25576179	Friesland
rtvnoord	14907733	Groningen, The Netherlands
jndkgrf	210792476	Eesterga, Friesland
deollegrieze	717985082	Groningen, The Netherlands
deollegrieze	717985082	Groningen, The Netherlands
AntjeDiertens	2336424080	Groningen
margotvansloten	86572332	Groningen, Groningen
supergtstfan	814788018947182592	Friesland, Nederland
BerendJongstra	2213048168	Kollum Friesland
nikszuidema	476618555	Groningen
vest	16103190	Groningen
basvansluis	97646123	Assen Groningen Leeuwarden
SannevanSchie	465891133	Groningen
Gropinie	4227025000	Groningen, Nederland
JohannesDreijer	2269391174	Freistaat Groningen
JouwStad_eu	899592692	Groningen, The Netherlands
Siebrand	18984918	Groningen, The Netherlands
PietJanNauta	186006245	Sneek, Friesland, Netherlands
ThalassaV	780465134	Groningen, Nederland
rvschepen	37967634	Groningen, Nederland
ASchreuder6	777535516384395265	Friesland, Nederland
F1Grietje	3173228765	Friesland, Nederland
bosmier	220819892	Drenthe, Hooghalen
HennieWestra	167510169	Friesland, Nederland
vest	16103190	Groningen
Edwin_Zuiderweg	255449790	Groningen, Nederland
hansomrosen	49634345	Groningen, The Netherlands
JohannesDreijer	2269391174	Freistaat Groningen
YouFonk	47047907	Annerveenschekanaal, Drenthe
bennileemhuis	92781973	Groningen
Debby_Seubers	45130361	Groningen natuurlijk ;)
RenateWinkel	190615412	Groningen
nijmko	373259567	Stadskanaal, Groningen
JorgeVliet	461386713	N-Holland & Friesland
RenateWinkel	190615412	Groningen
renbri7	853172867978211329	Groningen
MarJoYa77	62006361	Veendam, Groningen
hansomrosen	49634345	Groningen, The Netherlands
groningen	63435043	Groningen, Nederland
Boerenmacht	94878709	Groningen
Edwin_Zuiderweg	255449790	Groningen, Nederland
GroningerKerken	25052089	Groningen, the Netherlands
dsplit87	302243899	Friesland, Nederland
RenateWinkel	190615412	Groningen
parlementor	775269751668998144	Groningen, Nederland
irenebal	156225735	Friesland
Edwin_Zuiderweg	255449790	Groningen, Nederland
GroningenRSS	358287669	Groningen
JohannesDreijer	2269391174	Freistaat Groningen
parlementor	775269751668998144	Groningen, Nederland
ASchreuder6	777535516384395265	Friesland, Nederland
jandevries12	76839235	Groningen
erikpost1966	296238851	Noord-Groningen
dekerkalspodium	1133943336	Groningen
xxchantalxxxx	379299192	Groningen, Nederland
thiempie19	899285572912545793	Groningen, Nederland
Espen_vdH	2900417861	Groningen, Nederland
TomRustebiel	25482887	Groningen
ASchreuder6	777535516384395265	Friesland, Nederland
frank_brander	732894074	Groningen, Nederland
bennileemhuis	92781973	Groningen
